"";"mun";"year";"age_group";"pop";"FXET"
"330";"110028";2019;"From 35 to 39 years";4598;"08"
"331";"110028";2019;"From 40 to 44 years";4055;"09"
"332";"110028";2019;"From 45 to 49 years";3641;"10"
"333";"110028";2019;"From 5 to 9 years";3868;"02"
"334";"110028";2019;"From 50 to 54 years";3262;"11"
"335";"110028";2019;"From 55 to 59 years";2664;"12"
"336";"110028";2019;"From 60 to 64 years";2050;"13"
"337";"110028";2019;"From 65 to 69 years";1424;"14"
"338";"110028";2019;"From 70 to 74 years";944;"15"
"339";"110028";2019;"From 75 to 79 years";636;"16"
"340";"110028";2019;"From 80 years or more";661;"17"
"341";"110029";2019;"From 0 to 4 years";434;"01"
"342";"110029";2019;"From 10 to 14 years";438;"03"
"343";"110029";2019;"From 15 to 19 years";440;"04"
"344";"110029";2019;"From 20 to 24 years";488;"05"
"345";"110029";2019;"From 25 to 29 years";532;"06"
"346";"110029";2019;"From 30 to 34 years";512;"07"
"347";"110029";2019;"From 35 to 39 years";512;"08"
"348";"110029";2019;"From 40 to 44 years";477;"09"
"349";"110029";2019;"From 45 to 49 years";481;"10"
"350";"110029";2019;"From 5 to 9 years";437;"02"
"351";"110029";2019;"From 50 to 54 years";485;"11"
"352";"110029";2019;"From 55 to 59 years";400;"12"
"353";"110029";2019;"From 60 to 64 years";291;"13"
"354";"110029";2019;"From 65 to 69 years";216;"14"
"355";"110029";2019;"From 70 to 74 years";138;"15"
"356";"110029";2019;"From 75 to 79 years";107;"16"
"357";"110029";2019;"From 80 years or more";107;"17"
"358";"110030";2019;"From 0 to 4 years";7760;"01"
"359";"110030";2019;"From 10 to 14 years";7952;"03"
"360";"110030";2019;"From 15 to 19 years";8600;"04"
"361";"110030";2019;"From 20 to 24 years";8903;"05"
"362";"110030";2019;"From 25 to 29 years";8907;"06"
"363";"110030";2019;"From 30 to 34 years";8992;"07"
"364";"110030";2019;"From 35 to 39 years";8413;"08"
"365";"110030";2019;"From 40 to 44 years";7346;"09"
"366";"110030";2019;"From 45 to 49 years";6293;"10"
"367";"110030";2019;"From 5 to 9 years";7558;"02"
"368";"110030";2019;"From 50 to 54 years";5513;"11"
"369";"110030";2019;"From 55 to 59 years";4613;"12"
"370";"110030";2019;"From 60 to 64 years";3430;"13"
"371";"110030";2019;"From 65 to 69 years";2251;"14"
"372";"110030";2019;"From 70 to 74 years";1491;"15"
"373";"110030";2019;"From 75 to 79 years";953;"16"
"374";"110030";2019;"From 80 years or more";879;"17"
"375";"110032";2019;"From 0 to 4 years";1914;"01"
"376";"110032";2019;"From 10 to 14 years";1763;"03"
"377";"110032";2019;"From 15 to 19 years";1967;"04"
"378";"110032";2019;"From 20 to 24 years";2094;"05"
"379";"110032";2019;"From 25 to 29 years";2084;"06"
"380";"110032";2019;"From 30 to 34 years";1864;"07"
"381";"110032";2019;"From 35 to 39 years";1836;"08"
"382";"110032";2019;"From 40 to 44 years";1676;"09"
"383";"110032";2019;"From 45 to 49 years";1468;"10"
"384";"110032";2019;"From 5 to 9 years";1781;"02"
"385";"110032";2019;"From 50 to 54 years";1277;"11"
"386";"110032";2019;"From 55 to 59 years";1063;"12"
"387";"110032";2019;"From 60 to 64 years";813;"13"
"388";"110032";2019;"From 65 to 69 years";561;"14"
"389";"110032";2019;"From 70 to 74 years";377;"15"
"390";"110032";2019;"From 75 to 79 years";259;"16"
"391";"110032";2019;"From 80 years or more";208;"17"
"392";"110033";2019;"From 0 to 4 years";3007;"01"
"393";"110033";2019;"From 10 to 14 years";2687;"03"
"394";"110033";2019;"From 15 to 19 years";2822;"04"
"395";"110033";2019;"From 20 to 24 years";2689;"05"
"396";"110033";2019;"From 25 to 29 years";2462;"06"
"397";"110033";2019;"From 30 to 34 years";2352;"07"
"398";"110033";2019;"From 35 to 39 years";2461;"08"
"399";"110033";2019;"From 40 to 44 years";2295;"09"
"400";"110033";2019;"From 45 to 49 years";1851;"10"
"401";"110033";2019;"From 5 to 9 years";2792;"02"
"402";"110033";2019;"From 50 to 54 years";1520;"11"
"403";"110033";2019;"From 55 to 59 years";1231;"12"
"404";"110033";2019;"From 60 to 64 years";888;"13"
"405";"110033";2019;"From 65 to 69 years";637;"14"
"406";"110033";2019;"From 70 to 74 years";416;"15"
"407";"110033";2019;"From 75 to 79 years";240;"16"
"408";"110033";2019;"From 80 years or more";233;"17"
"409";"110034";2019;"From 0 to 4 years";1068;"01"
"410";"110034";2019;"From 10 to 14 years";1047;"03"
"411";"110034";2019;"From 15 to 19 years";1111;"04"
"412";"110034";2019;"From 20 to 24 years";1149;"05"
"413";"110034";2019;"From 25 to 29 years";1181;"06"
"414";"110034";2019;"From 30 to 34 years";1067;"07"
"415";"110034";2019;"From 35 to 39 years";1124;"08"
"416";"110034";2019;"From 40 to 44 years";1084;"09"
"417";"110034";2019;"From 45 to 49 years";979;"10"
"418";"110034";2019;"From 5 to 9 years";1029;"02"
"419";"110034";2019;"From 50 to 54 years";947;"11"
"420";"110034";2019;"From 55 to 59 years";789;"12"
"421";"110034";2019;"From 60 to 64 years";663;"13"
"422";"110034";2019;"From 65 to 69 years";468;"14"
"423";"110034";2019;"From 70 to 74 years";293;"15"
"424";"110034";2019;"From 75 to 79 years";206;"16"
"425";"110034";2019;"From 80 years or more";206;"17"
"426";"110037";2019;"From 0 to 4 years";1148;"01"
"427";"110037";2019;"From 10 to 14 years";1035;"03"
"428";"110037";2019;"From 15 to 19 years";1157;"04"
"429";"110037";2019;"From 20 to 24 years";1153;"05"
"430";"110037";2019;"From 25 to 29 years";1149;"06"
"431";"110037";2019;"From 30 to 34 years";949;"07"
"432";"110037";2019;"From 35 to 39 years";956;"08"
"433";"110037";2019;"From 40 to 44 years";977;"09"
"434";"110037";2019;"From 45 to 49 years";933;"10"
"435";"110037";2019;"From 5 to 9 years";1036;"02"
"436";"110037";2019;"From 50 to 54 years";794;"11"
"437";"110037";2019;"From 55 to 59 years";621;"12"
"438";"110037";2019;"From 60 to 64 years";449;"13"
"439";"110037";2019;"From 65 to 69 years";352;"14"
"440";"110037";2019;"From 70 to 74 years";240;"15"
"441";"110037";2019;"From 75 to 79 years";166;"16"
"442";"110037";2019;"From 80 years or more";126;"17"
"443";"110040";2019;"From 0 to 4 years";1858;"01"
"444";"110040";2019;"From 10 to 14 years";1687;"03"
"445";"110040";2019;"From 15 to 19 years";1860;"04"
"446";"110040";2019;"From 20 to 24 years";1897;"05"
"447";"110040";2019;"From 25 to 29 years";1761;"06"
"448";"110040";2019;"From 30 to 34 years";1623;"07"
"449";"110040";2019;"From 35 to 39 years";1613;"08"
"450";"110040";2019;"From 40 to 44 years";1581;"09"
"451";"110040";2019;"From 45 to 49 years";1536;"10"
"452";"110040";2019;"From 5 to 9 years";1740;"02"
"453";"110040";2019;"From 50 to 54 years";1259;"11"
"454";"110040";2019;"From 55 to 59 years";966;"12"
"455";"110040";2019;"From 60 to 64 years";742;"13"
"456";"110040";2019;"From 65 to 69 years";510;"14"
"457";"110040";2019;"From 70 to 74 years";363;"15"
"458";"110040";2019;"From 75 to 79 years";239;"16"
"459";"110040";2019;"From 80 years or more";193;"17"
"460";"110045";2019;"From 0 to 4 years";3581;"01"
"461";"110045";2019;"From 10 to 14 years";3296;"03"
"462";"110045";2019;"From 15 to 19 years";3613;"04"
"463";"110045";2019;"From 20 to 24 years";3515;"05"
"464";"110045";2019;"From 25 to 29 years";3391;"06"
"465";"110045";2019;"From 30 to 34 years";3187;"07"
"466";"110045";2019;"From 35 to 39 years";3160;"08"
"467";"110045";2019;"From 40 to 44 years";2803;"09"
"468";"110045";2019;"From 45 to 49 years";2362;"10"
"469";"110045";2019;"From 5 to 9 years";3294;"02"
"470";"110045";2019;"From 50 to 54 years";1968;"11"
"471";"110045";2019;"From 55 to 59 years";1569;"12"
"472";"110045";2019;"From 60 to 64 years";1347;"13"
"473";"110045";2019;"From 65 to 69 years";1035;"14"
"474";"110045";2019;"From 70 to 74 years";722;"15"
"475";"110045";2019;"From 75 to 79 years";461;"16"
